ID RUAS,Nama Jalan,NO RUAS,STA FROM,RUAS KIRI,RUAS KANAN,RUAS KIRI,RUAS KANAN
220331A-10,JLN. PASIR KALIKI (BANDUNG),220331A,000+100,86.0,76.7,3.5,4.1
220331A-20,JLN. PASIR KALIKI (BANDUNG),220331A,000+200,73.5,64.3,4.7,4.8
220331A-30,JLN. PASIR KALIKI (BANDUNG),220331A,000+300,74.2,75.8,4.0,5.5
220331A-40,JLN. PASIR KALIKI (BANDUNG),220331A,000+400,74.9,75.3,3.8,4.6
220331A-50,JLN. PASIR KALIKI (BANDUNG),220331A,000+500,74.5,71.8,4.4,4.0
220331A-60,JLN. PASIR KALIKI (BANDUNG),220331A,000+600,64.9,70.0,6.2,5.7
2203411-0,JLN. SUKARNO - HATTA (BANDUNG),2203411,000+000,92.1,93.0,5.9,5.6
2203411-10,JLN. SUKARNO - HATTA (BANDUNG),2203411,000+100,98.7,98.1,4.8,5.6
2203411-20,JLN. SUKARNO - HATTA (BANDUNG),2203411,000+200,98.7,98.1,5.2,4.5
2203411-30,JLN. SUKARNO - HATTA (BANDUNG),2203411,000+300,98.5,98.0,4.9,4.9
2203411-40,JLN. SUKARNO - HATTA (BANDUNG),2203411,000+400,98.6,98.0,4.9,4.7
2203411-50,JLN. SUKARNO - HATTA (BANDUNG),2203411,000+500,98.1,99.5,4.8,5.3
2203411-60,JLN. SUKARNO - HATTA (BANDUNG),2203411,000+600,98.7,99.5,5.2,5.7
2203411-70,JLN. SUKARNO - HATTA (BANDUNG),2203411,000+700,99.3,98.0,4.7,4.8
2203411-80,JLN. SUKARNO - HATTA (BANDUNG),2203411,000+800,99.3,99.6,5.2,5.5
2203411-90,JLN. SUKARNO - HATTA (BANDUNG),2203411,000+900,99.3,99.6,5.2,6.8
2203411-100,JLN. SUKARNO - HATTA (BANDUNG),2203411,001+000,98.7,99.6,5.7,5.8
2203411-110,JLN. SUKARNO - HATTA (BANDUNG),2203411,001+100,99.3,98.7,5.4,5.6
2203411-120,JLN. SUKARNO - HATTA (BANDUNG),2203411,001+200,99.6,99.6,5.2,4.4
2203411-130,JLN. SUKARNO - HATTA (BANDUNG),2203411,001+300,98.8,98.7,5.5,5.2
2203411-140,JLN. SUKARNO - HATTA (BANDUNG),2203411,001+400,98.8,99.6,6.2,6.2
2203411-150,JLN. SUKARNO - HATTA (BANDUNG),2203411,001+500,98.7,100.0,4.4,5.8
2203411-160,JLN. SUKARNO - HATTA (BANDUNG),2203411,001+600,99.3,98.1,4.4,6.1
2203411-170,JLN. SUKARNO - HATTA (BANDUNG),2203411,001+700,99.3,99.6,4.5,4.8
2203411-180,JLN. SUKARNO - HATTA (BANDUNG),2203411,001+800,98.7,99.6,4.3,5.4
2203411-190,JLN. SUKARNO - HATTA (BANDUNG),2203411,001+900,98.7,94.0,4.2,4.9
2203411-200,JLN. SUKARNO - HATTA (BANDUNG),2203411,002+000,98.7,92.0,4.0,4.3
2203411-210,JLN. SUKARNO - HATTA (BANDUNG),2203411,002+100,99.6,92.9,4.8,4.4
2203411-220,JLN. SUKARNO - HATTA (BANDUNG),2203411,002+200,98.7,92.9,4.6,4.5
2203411-230,JLN. SUKARNO - HATTA (BANDUNG),2203411,002+300,99.3,93.1,4.4,4.5
2203411-240,JLN. SUKARNO - HATTA (BANDUNG),2203411,002+400,99.6,92.9,3.6,4.4
2203411-250,JLN. SUKARNO - HATTA (BANDUNG),2203411,002+500,99.3,92.9,3.6,4.4
2203411-260,JLN. SUKARNO - HATTA (BANDUNG),2203411,002+600,98.7,92.9,3.9,4.4
2203411-270,JLN. SUKARNO - HATTA (BANDUNG),2203411,002+700,99.3,92.6,3.8,4.8
2203411-280,JLN. SUKARNO - HATTA (BANDUNG),2203411,002+800,99.3,95.1,4.0,4.8
2203411-290,JLN. SUKARNO - HATTA (BANDUNG),2203411,002+900,99.3,94.0,5.1,4.2
2203411-300,JLN. SUKARNO - HATTA (BANDUNG),2203411,003+000,99.3,92.9,4.6,5.0
2203411-310,JLN. SUKARNO - HATTA (BANDUNG),2203411,003+100,93.7,86.7,6.4,8.3
2203411-320,JLN. SUKARNO - HATTA (BANDUNG),2203411,003+200,81.9,90.6,5.2,6.6
2203411-330,JLN. SUKARNO - HATTA (BANDUNG),2203411,003+300,87.8,85.3,5.9,7.2
2203411-340,JLN. SUKARNO - HATTA (BANDUNG),2203411,003+400,95.2,84.7,6.3,7.7
2203411-350,JLN. SUKARNO - HATTA (BANDUNG),2203411,003+500,74.7,98.1,5.3,4.9
2203411-360,JLN. SUKARNO - HATTA (BANDUNG),2203411,003+600,84.7,98.1,6.8,5.3
2203411-370,JLN. SUKARNO - HATTA (BANDUNG),2203411,003+700,80.9,87.8,6.2,5.4
2203411-380,JLN. SUKARNO - HATTA (BANDUNG),2203411,003+800,95.6,89.7,5.2,5.6
2203411-390,JLN. SUKARNO - HATTA (BANDUNG),2203411,003+900,75.1,98.2,4.4,5.4
2203411-400,JLN. SUKARNO - HATTA (BANDUNG),2203411,004+000,94.2,95.7,4.0,7.2
2203411-410,JLN. SUKARNO - HATTA (BANDUNG),2203411,004+100,85.7,97.6,4.6,5.4
2203411-420,JLN. SUKARNO - HATTA (BANDUNG),2203411,004+200,77.1,97.6,4.2,5.4
2203411-430,JLN. SUKARNO - HATTA (BANDUNG),2203411,004+300,87.1,97.6,4.7,5.0
2203411-440,JLN. SUKARNO - HATTA (BANDUNG),2203411,004+400,85.4,98.1,4.3,7.0
2203411-450,JLN. SUKARNO - HATTA (BANDUNG),2203411,004+500,75.2,94.7,5.0,4.9
2203411-460,JLN. SUKARNO - HATTA (BANDUNG),2203411,004+600,87.2,95.6,4.4,5.0
2203411-470,JLN. SUKARNO - HATTA (BANDUNG),2203411,004+700,84.1,99.3,3.7,6.2
2203411-480,JLN. SUKARNO - HATTA (BANDUNG),2203411,004+800,77.1,94.0,3.6,4.3
2203411-490,JLN. SUKARNO - HATTA (BANDUNG),2203411,004+900,74.4,73.8,6.3,5.6
2203411-500,JLN. SUKARNO - HATTA (BANDUNG),2203411,005+000,86.0,97.6,4.2,4.5
2203411-510,JLN. SUKARNO - HATTA (BANDUNG),2203411,005+100,81.4,98.0,4.4,4.0
2203411-520,JLN. SUKARNO - HATTA (BANDUNG),2203411,005+200,84.2,98.1,4.4,4.6
2203411-530,JLN. SUKARNO - HATTA (BANDUNG),2203411,005+300,87.4,98.1,4.5,5.0
2203411-540,JLN. SUKARNO - HATTA (BANDUNG),2203411,005+400,83.5,93.3,5.9,6.1
2203411-550,JLN. SUKARNO - HATTA (BANDUNG),2203411,005+500,81.9,97.9,4.5,4.3
2203411-560,JLN. SUKARNO - HATTA (BANDUNG),2203411,005+600,82.2,97.7,4.6,4.6
2203411-570,JLN. SUKARNO - HATTA (BANDUNG),2203411,005+700,85.3,95.7,3.6,4.0
2203411-580,JLN. SUKARNO - HATTA (BANDUNG),2203411,005+800,86.4,96.6,4.2,3.5
2203411-590,JLN. SUKARNO - HATTA (BANDUNG),2203411,005+900,83.5,97.7,5.7,3.8
2203411-600,JLN. SUKARNO - HATTA (BANDUNG),2203411,006+000,86.1,82.6,5.2,7.2
2203411-610,JLN. SUKARNO - HATTA (BANDUNG),2203411,006+100,86.5,98.0,4.3,4.7
2203411-620,JLN. SUKARNO - HATTA (BANDUNG),2203411,006+200,79.9,97.9,4.9,4.5
2203411-630,JLN. SUKARNO - HATTA (BANDUNG),2203411,006+300,82.7,90.6,4.6,4.0
2203411-640,JLN. SUKARNO - HATTA (BANDUNG),2203411,006+400,86.4,87.5,4.0,4.5
2203411-650,JLN. SUKARNO - HATTA (BANDUNG),2203411,006+500,86.0,84.1,3.8,3.9
2203411-660,JLN. SUKARNO - HATTA (BANDUNG),2203411,006+600,83.4,90.3,3.5,4.6
2203411-670,JLN. SUKARNO - HATTA (BANDUNG),2203411,006+700,79.3,97.8,3.7,3.5
2203411-680,JLN. SUKARNO - HATTA (BANDUNG),2203411,006+800,81.4,98.0,3.8,3.6
2203411-690,JLN. SUKARNO - HATTA (BANDUNG),2203411,006+900,87.2,98.1,3.7,3.9
2203411-700,JLN. SUKARNO - HATTA (BANDUNG),2203411,007+000,86.8,96.5,3.8,4.2
2203411-710,JLN. SUKARNO - HATTA (BANDUNG),2203411,007+100,86.1,94.5,3.6,4.4
2203411-720,JLN. SUKARNO - HATTA (BANDUNG),2203411,007+200,80.7,98.0,3.8,3.5
2203411-730,JLN. SUKARNO - HATTA (BANDUNG),2203411,007+300,80.0,98.1,4.2,3.6
2203411-740,JLN. SUKARNO - HATTA (BANDUNG),2203411,007+400,85.2,92.1,4.1,4.3
2203411-750,JLN. SUKARNO - HATTA (BANDUNG),2203411,007+500,87.1,88.6,4.2,3.6
2203411-760,JLN. SUKARNO - HATTA (BANDUNG),2203411,007+600,82.6,100.0,4.4,3.7
2203411-770,JLN. SUKARNO - HATTA (BANDUNG),2203411,007+700,86.6,94.0,5.0,3.6
2203411-780,JLN. SUKARNO - HATTA (BANDUNG),2203411,007+800,87.2,84.8,4.1,4.1
2203411-790,JLN. SUKARNO - HATTA (BANDUNG),2203411,007+900,86.2,97.8,3.7,4.2
2203411-800,JLN. SUKARNO - HATTA (BANDUNG),2203411,008+000,87.4,98.1,3.8,4.0
2203411-810,JLN. SUKARNO - HATTA (BANDUNG),2203411,008+100,86.3,97.9,3.6,3.7
2203411-820,JLN. SUKARNO - HATTA (BANDUNG),2203411,008+200,86.1,98.3,4.1,3.5
2203411-830,JLN. SUKARNO - HATTA (BANDUNG),2203411,008+300,87.3,98.3,4.0,3.5
2203411-840,JLN. SUKARNO - HATTA (BANDUNG),2203411,008+400,84.5,91.6,4.4,4.1
2203411-850,JLN. SUKARNO - HATTA (BANDUNG),2203411,008+500,82.4,98.1,5.5,5.3
2203411-860,JLN. SUKARNO - HATTA (BANDUNG),2203411,008+600,89.0,98.5,4.5,3.8
2203411-870,JLN. SUKARNO - HATTA (BANDUNG),2203411,008+700,85.3,90.5,6.3,5.1
2203411-880,JLN. SUKARNO - HATTA (BANDUNG),2203411,008+800,87.2,99.1,4.0,4.0
2203411-890,JLN. SUKARNO - HATTA (BANDUNG),2203411,008+900,82.6,97.9,3.6,4.0
2203411-900,JLN. SUKARNO - HATTA (BANDUNG),2203411,009+000,84.3,98.3,4.7,4.1
2203411-910,JLN. SUKARNO - HATTA (BANDUNG),2203411,009+100,83.7,98.4,4.2,3.9
2203411-920,JLN. SUKARNO - HATTA (BANDUNG),2203411,009+200,83.8,95.4,4.6,3.7
2203411-930,JLN. SUKARNO - HATTA (BANDUNG),2203411,009+300,87.4,98.4,4.5,3.5
2203411-940,JLN. SUKARNO - HATTA (BANDUNG),2203411,009+400,87.2,82.1,3.7,5.6
2203411-950,JLN. SUKARNO - HATTA (BANDUNG),2203411,009+500,87.2,61.6,5.3,5.5
2203411-960,JLN. SUKARNO - HATTA (BANDUNG),2203411,009+600,86.0,98.6,6.1,3.7
2203411-970,JLN. SUKARNO - HATTA (BANDUNG),2203411,009+700,86.5,98.2,4.2,6.2
2203411-980,JLN. SUKARNO - HATTA (BANDUNG),2203411,009+800,85.9,93.5,5.5,4.2
2203411-990,JLN. SUKARNO - HATTA (BANDUNG),2203411,009+900,62.0,97.3,5.2,3.8
2203411-1000,JLN. SUKARNO - HATTA (BANDUNG),2203411,010+000,65.7,92.2,5.6,3.5
2203411-1010,JLN. SUKARNO - HATTA (BANDUNG),2203411,010+100,73.2,97.2,4.8,4.0
2203411-1020,JLN. SUKARNO - HATTA (BANDUNG),2203411,010+200,94.0,95.4,5.0,3.6
2203411-1030,JLN. SUKARNO - HATTA (BANDUNG),2203411,010+300,73.2,92.4,5.7,4.0
2203411-1040,JLN. SUKARNO - HATTA (BANDUNG),2203411,010+400,70.0,91.1,6.1,3.7
2203411-1050,JLN. SUKARNO - HATTA (BANDUNG),2203411,010+500,75.1,87.5,5.9,3.8
2203411-1060,JLN. SUKARNO - HATTA (BANDUNG),2203411,010+600,72.7,87.5,5.2,3.9
2203411-1070,JLN. SUKARNO - HATTA (BANDUNG),2203411,010+700,86.9,87.2,5.1,4.0
2203411-1080,JLN. SUKARNO - HATTA (BANDUNG),2203411,010+800,87.1,81.5,5.7,4.3
2203411-1090,JLN. SUKARNO - HATTA (BANDUNG),2203411,010+900,79.9,76.6,7.4,4.9
2203411-1100,JLN. SUKARNO - HATTA (BANDUNG),2203411,011+000,69.5,94.9,5.1,4.1
2203411-1110,JLN. SUKARNO - HATTA (BANDUNG),2203411,011+100,78.4,92.1,4.7,3.6
2203411-1120,JLN. SUKARNO - HATTA (BANDUNG),2203411,011+200,79.4,93.4,4.3,3.9
2203411-1130,JLN. SUKARNO - HATTA (BANDUNG),2203411,011+300,73.4,94.8,5.2,3.5
2203411-1140,JLN. SUKARNO - HATTA (BANDUNG),2203411,011+400,69.6,97.3,4.5,3.7
